Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,r_squared,r_squared_15d,slope,sma30w_dist,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
FSV,-0.13548041224292864,-0.03497913145928669,-0.10109950027364749,-0.08664850787651815,-0.06250875523940733,134.0800018310547,145.00547718541054,-0.07534525982343444,0.3957131588292188,0.220268572759244,-0.26907789652248687,-0.12786591180085,-2.54,0.5238095238095238,17,False,False,146.70800170898437,145.63800125122071,142.7399444580078,145.87019683837892,0.375,0.375,-0.18685643739525984,0.06029655679786779,0.02756405248073133,0.031789650143134875,1.1603846504683306,1.1808183682857287,-0.15908685520816018,44.9637330754352,27.990006447453254,53.775789813023856,29.368149580915542,54.259348807221144,80.23855577047067,64.35364281108961,28.965183752417794,64.53175370728562,72.03014184397163,46.240328820116055,70.64796905222437,49.90328820116054,80.23855577047067,63.76531270148291,71.05093488072211,Other
MCB,-0.035869598388671875,0.06495372761733617,-0.0052708447948225864,-0.015975176959803907,-0.02366539969168344,88.69999694824219,87.925947505848,0.008803424522012736,0.12307326056740335,0.025465802681211624,-0.1068025356796664,0.09682387871885624,1.18,0.49206349206349204,20,True,False,89.12099838256836,88.30499877929688,86.0086659749349,85.53199981689453,0.375,0.125,-0.18705258733753205,0.10999087329851863,0.02887725847429859,0.03134563085117382,0.7868834014933618,0.40469959363946567,-0.06219599938524379,44.95647969052224,36.976144422952935,54.9282720825274,54.36814958091554,54.22711154094132,46.77627337201805,21.058994197292073,44.00386847195358,48.32890070921985,63.04400386847195,45.08784655061251,45.64796905222437,28.32849774339136,46.77627337201805,44.294003868471954,56.01225016118633,Other
EMR,-0.09046732170881161,0.042283568199342994,-0.04128057274662912,-0.03470703060537495,-0.013437369129866495,136.55999755859375,140.00187501444378,-0.02458450971099451,0.292361018953706,0.3540933228503921,-0.2656490443855205,-0.007924713332402068,-0.84,0.47619047619047616,17,True,False,142.13300170898438,140.6610008239746,136.60066706339518,139.45220077514648,0.25,0.625,-0.2344991938670424,0.0845801498751698,0.023372119328541788,0.02466733055404321,1.2723747486043022,1.0722391768472381,-0.1153028854128101,44.94136847195358,35.73903932946486,42.94406834300452,54.36814958091554,35.34413281753707,61.444229529335914,64.78884590586719,34.84848484848485,61.1428110896196,64.28110896196003,57.072050290135394,45.64796905222437,74.64941972920695,61.444229529335914,58.05931656995487,65.16763378465507,ROBOTICS
ENGN,-0.31450831080235303,0.03377386505228229,-0.13513517629910882,-0.02222220161814694,0.011494241848790828,7.039999961853027,7.623805606897404,-0.07657666986107262,0.5183635481670261,1.620569111715738e-05,-0.05200148869403129,-0.1633489836892242,-1.4,0.5079365079365079,26,False,False,7.905999946594238,7.582499957084655,7.3618333021799724,7.963699979782104,0.375,0.375,-0.4180791059384007,0.0350110633260934,0.07398899718572219,0.08274148468784728,0.5352045885286782,0.8953956180290266,-0.3332262446622063,44.936935847840104,37.713571889103804,75.83413926499031,29.368149580915542,34.626853642811085,97.5338491295938,35.670535138620245,12.137330754352032,66.14784816247582,62.306576402321085,24.18197936814958,70.64796905222437,69.53578336557061,97.5338491295938,73.750805931657,87.87878787878788,Other
WU,-0.017287358807379406,0.028636885808582587,-0.03751343883513128,-0.04162223565486027,0.004474268873658309,8.979999542236328,9.14934773037873,-0.01850931816484718,0.1944778913639541,0.01133082491979587,-0.007427136286429364,0.006519084603474775,-0.5,0.49206349206349204,20,False,False,9.285999870300293,9.088499927520752,9.052999941507975,9.165882701873779,0.25,0.5,-0.1561464559295128,0.16090721945624817,0.03493178831970958,0.0405265863355061,2.337798024501197,0.8133506922881946,-0.044121163667384944,44.936532882011605,43.878949065119286,54.9282720825274,29.368149580915542,45.410219213410706,27.562862669245646,68.89909735654416,48.64603481624758,51.166989039329465,56.14119922630561,45.08784655061251,70.64796905222437,57.29771115409413,27.562862669245646,32.83365570599613,51.37008381689233,FINTECH
ETX,-0.01583334345021408,0.006331704673029005,-0.014989329875328018,-0.01814301796907673,-0.01604284129248466,18.399999618530273,18.613023519258512,-0.011444884304144727,0.016265555096888554,0.002600713722536517,-0.0011100928354922529,-0.012877649155225233,-1.41,0.4444444444444444,1,False,True,18.601000213623045,18.585381031036377,18.613132667541503,18.671190299987792,0.125,0.5,-0.03877324139870086,0.10946677441203594,0.011136016475987304,0.010284536836321283,1.0769429402516917,1.9022247433053425,-0.04270685143677169,44.92242907801418,37.33075435203095,21.224210186976144,54.36814958091554,51.36202450032237,47.09864603481625,69.41489361702128,48.95228884590587,57.933389748549324,62.68939393939394,78.79190844616376,45.64796905222437,42.750644745325594,47.09864603481625,73.66215344938749,51.06382978723404,Other
TGL,-0.19075149075923592,0.179775246284387,-0.030023121646997775,-0.07894739869118655,-0.01869168145363132,4.199999809265137,4.149298891431805,0.012219152960522573,0.34968893877037605,0.6028657138925447,-0.014093172943903373,-0.5128175645015128,0.29,0.49206349206349204,25,False,False,4.3309999942779545,4.054500007629395,3.971000011761983,4.1174399948120115,0.25,0.375,-0.31984587042947227,0.07364128874563546,0.07729813815683625,0.06823128893339081,1.8110752746952385,0.3862085059214748,-0.2128487098953035,44.917190522243715,48.521115409413284,69.98307543520309,29.368149580915542,27.583010960670535,69.60025789813024,45.6076724693746,22.259832366215345,54.101990651192786,51.499032882011605,30.033043197936813,70.64796905222437,63.47517730496455,69.60025789813024,18.681495809155386,77.75628626692456,Other
PLBC,0.027765771787045306,0.041990971935173586,-0.016244443385421053,-0.014147278368669802,-0.021918850729446274,50.869998931884766,51.08019957239428,-0.004115110008754019,0.050692718500361784,0.007032548742859999,-0.01946256036216395,0.08849999817702656,0.35,0.42857142857142855,12,True,False,51.74399948120117,51.17999973297119,50.24499982198079,50.38520004272461,0.25,0.5,-0.11065343314541254,0.09424329538519696,0.026902788395560817,0.027352640857584327,0.8206544355188533,0.5305660371429223,-0.00029824713964410966,44.91013862024501,41.993068987749844,24.991940683430045,54.36814958091554,52.00274016763379,54.90006447453256,26.45873629916183,65.71566731141199,53.88035944551902,58.027079303675045,75.02417794970987,45.64796905222437,50.70519019987105,54.90006447453256,47.46937459703417,34.30045132172791,Other
AARD,-0.6097378360094553,0.38196288183178323,-0.029795130506869917,-0.056159410117879845,-0.06797855171166622,5.210000038146973,5.126926687286106,0.01620334284609021,0.6671586658679409,0.6797778659270522,-0.16815259998890297,-0.49302627010431505,-1.74,0.5555555555555556,26,False,False,5.384999990463257,4.795500028133392,4.520166699091593,6.02670000076294,0.375,0.375,-0.739614235188546,0.09019451092220036,0.07472088159645321,0.07785850537976124,2.024960319447875,0.6131951315739139,-0.6203942764721085,44.89522888459059,47.05029013539652,85.27159896840747,29.368149580915542,27.91344294003868,57.68858800773694,56.63281753707286,3.1753707285622177,55.4448742746615,52.969858156028366,14.74451966473243,70.64796905222437,76.249194068343,57.68858800773694,25.032237266279818,96.8407479045777,Other
KAI,-0.0539505083687641,0.04833989630635001,-0.0625573933363504,-0.03199796208533092,-0.010983666711556575,306.1499938964844,316.1284850068563,-0.03156466937851394,0.20676811625424735,0.4944436081497015,-0.42486401600405593,0.011855358678219562,-0.98,0.49206349206349204,20,False,False,320.15199584960936,315.4315551757812,310.4503590901693,318.40864196777346,0.25,0.5,-0.17972410872706862,0.07278892255762376,0.035100878206247174,0.03921447234253732,1.0896718243491628,1.127498997136007,-0.07978319473324536,44.88797549967762,34.98549323017408,54.9282720825274,29.368149580915542,42.14619600257898,70.29335912314636,61.081560283687935,40.377176015473886,62.161710186976144,65.0346550612508,45.08784655061251,70.64796905222437,60.561734364925854,70.29335912314636,64.65183752417795,59.638942617666025,Other
