Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,r_squared,slope,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
FTI,0.33938717433423804,0.02950398498827535,-0.007829665809477677,0.028624353478903887,-0.0019344947400191932,72.2300033569336,70.7938496518333,0.020286419119222236,0.8891048675365272,0.30158873380786994,0.6507936507936508,28,True,True,72.44300155639648,71.5435001373291,69.48103205362956,67.2145735168457,0.625,0.25,-0.07377784625116143,0.04279485951642005,0.02969798643688762,0.031098559577441325,2.3686845458053805,0.674275796157353,0.29398856573406407,85.42596756062309,81.85321984904449,96.11771318451903,80.44403404528666,89.5615866388309,93.36759274128794,64.47727637706761,92.5967560623093,24.200457684278145,18.17488357154328,3.8983459129596914,19.572025052192068,22.225790910550824,93.36759274128794,27.236229323911996,7.419303035169424,OIL AND GAS EQUIPMENT AND SERVICES
MG,0.2883947514379506,0.24346083871659358,0.07853405116509705,0.03575426316403572,0.03749300754496705,18.540000915527344,16.562396556902485,0.11940327306078659,0.5258711329258305,0.044468609876530146,0.6190476190476191,24,True,True,17.405000305175783,16.28800015449524,15.656333414713542,15.333600025177002,0.625,0.125,-0.10395408690794951,0.04957128239999855,0.03257603250658357,0.03201571527039877,3.242693871169481,1.2133355100019272,0.24472453406997885,85.4257668219046,82.86494299020396,87.25710615063434,80.44403404528666,85.81981692628875,88.0841496707885,87.78705636743214,90.94266902200097,25.843102617632887,17.16316043038381,12.758952946844387,19.572025052192068,16.56495904930143,88.0841496707885,45.021679781596276,9.073390075477757,Other
VIR,0.44189188361951615,0.24504089337809482,0.03291385818964363,-0.037871963076207604,-0.014773762561334997,10.670000076293945,9.874583131570114,0.08055195182678616,0.6765047885999115,0.04870703864482141,0.5396825396825397,30,True,True,10.282000064849854,9.62100009918213,9.511500040690104,9.152700042724609,0.625,0.375,-0.16000003814697267,0.05589889799578673,0.05291049693075241,0.051037619099799376,2.8878990334039134,1.2158897392694992,0.3930188717506758,85.38341095230447,87.84727798297735,87.71880520314758,80.44403404528666,78.05122852095712,82.83282479524651,87.00819013971415,95.05379797655372,28.23430223221455,12.180825437610407,12.297253894331138,19.572025052192068,46.94074193030352,82.83282479524651,45.88084149670789,4.962261120925004,GENOMICS
RELY,0.46638661944153287,0.2957921244913245,0.0667346627252661,0.014534939596928429,0.0067308318332830516,20.940000534057617,18.06152373706861,0.15937065105317536,0.5907171388934696,0.08734326936682249,0.5873015873015873,26,True,True,19.006999969482422,17.442000007629396,16.88249994913737,16.448099994659422,0.5,0.125,-0.146188834242181,0.04686897286765169,0.038090694593981955,0.033207130131726374,3.1688722467418082,1.0235959770125598,0.4166833570329997,85.18628553075317,87.52609603340292,89.81451742412077,80.44403404528666,72.38236711096836,90.26818692789466,83.33065681708689,95.4873936084792,24.54030833467159,12.50200738718484,10.201541673357958,19.572025052192068,22.482736470210376,90.26818692789466,40.966757668219046,4.528665488999518,Other
OOMA,0.3125000196067913,0.12711865890760107,0.06755854459983984,0.006305194428401216,0.007575750277974386,15.960000038146973,14.73529104234354,0.08311400109329983,0.8042867148755919,0.06748128019719628,0.6190476190476191,26,True,True,14.91899995803833,14.686500072479248,14.431666723887126,13.62700002670288,0.625,0.25,-0.07422510851740051,0.039016638505034916,0.032544870152674946,0.028450144110073888,2.2896390823925055,0.4706432584561951,0.2680127527285885,85.11050666452545,86.91785771639634,92.0427171992934,80.44403404528666,89.47326160269793,95.45527541352176,53.60526738397303,91.80986028585193,22.85380199132809,13.110245704191424,7.973341898185322,19.572025052192068,22.314115946683795,95.45527541352176,17.31170708206199,8.206198811626786,Other
IRD,1.1879999160766601,0.21286020234811098,-0.04869568866232167,-0.012635410134184044,0.024344500728292837,5.46999979019165,5.179075763225085,0.05617296217837192,0.8560030880740854,0.051711790790114724,0.6031746031746031,35,True,True,5.554000043869019,5.09900004863739,4.986000061035156,4.575200037956238,0.625,0.125,-0.19081271251267914,0.06200340617418636,0.06525619697213494,0.06424654302698357,1.3590335336565313,0.9387325860695176,1.1138375277018782,85.05138911193191,92.21936727155934,97.53091376264653,80.44403404528666,74.22514854665168,77.37273165248114,65.0313152400835,99.26128151597881,22.62827204111129,7.808736149028425,2.4851453348321826,19.572025052192068,28.159627428938496,77.37273165248114,53.308174080616666,0.7547775814999197,Other
TNGX,1.1813764940832812,0.3829569387641203,0.07587857624046973,0.020841271585058066,-0.029888365503213783,26.940000534057617,22.706315932419646,0.18645405156162728,0.8644606735988312,0.24488046980490155,0.5873015873015873,30,True,True,24.438000106811522,22.37549991607666,21.04566650390625,17.897799911499025,0.875,0.125,-0.13643405637620012,0.11252002231132006,0.06760003146684881,0.0594760861947195,1.7046992420943792,1.119834127559999,1.1074386069941866,84.97791874096676,96.63561907820781,94.81291151437289,80.44403404528666,84.73984262084471,41.72153524971897,77.22819977517264,99.24522241850008,17.199694877147902,3.392484342379958,5.20314758310583,19.572025052192068,21.19800867191264,41.72153524971897,52.063594026015735,0.7708366789786414,Other
WLY,0.3368045600870617,0.1498847139760764,0.03203546521443711,0.0050396666282175925,-0.01296250843989402,41.880001068115234,39.19025536286942,0.06863302319265303,0.832878109308316,0.21713640503070325,0.6031746031746031,21,True,True,40.37300033569336,39.16861076354981,38.193638737996416,35.26842601776123,0.75,0.125,-0.08950032343741676,0.062048484439759445,0.022831513835986507,0.02035397880814781,2.5079508809646214,1.0106210007488492,0.29149348935168123,84.94098281676568,90.45688132326963,77.34462823189337,80.44403404528666,90.4247631283122,77.30849526256624,81.13859001124138,92.50040147743697,23.676328890316363,9.571222097318131,22.671430865585357,19.572025052192068,14.774369680423963,77.30849526256624,42.48434237995825,7.515657620041753,Other
UI,0.7883322036866497,0.20401927426031954,-0.03310463970092169,-0.07104484188374083,-0.022103443736494255,1004.72998046875,931.633053353401,0.07846107096805717,0.8559497868575879,6.967130151212486,0.6507936507936508,29,True,True,1001.9559814453125,909.2634918212891,867.1126607259115,818.2568969726562,0.75,0.0,-0.12168521193177127,0.12131439344795177,0.052241478943356415,0.05220083625102221,1.4849741150230853,1.820008318256884,0.7277165763923147,84.92452224185001,95.06584229966278,97.15352497189659,80.44403404528666,86.05668861409988,37.8191745623896,80.22322145495423,98.05684920507467,17.023044804881966,4.962261120925003,2.862534125582142,19.572025052192068,14.429099084631442,37.8191745623896,62.75092339810503,1.9592098924040469,COMMUNICATION EQUIPMENT
EQIX,0.3980117310715479,0.1428156675437231,0.02930245976974546,-0.0015307856654594204,0.00725557297051713,1102.280029296875,1037.8649671479889,0.062064973949256745,0.8678530894440835,4.338012704102125,0.5555555555555556,20,True,True,1068.910986328125,1028.155990600586,1009.2743286132812,981.3476684570312,0.75,0.25,-0.04159220484512774,0.05199162482697468,0.01890308336669251,0.01868270376568606,1.3896913751037554,1.0942272018807886,0.35062603960491406,84.84884374498154,92.21936727155934,68.96177934800065,80.44403404528666,95.39505379797654,86.04464429099085,70.66805845511482,94.02601573791553,27.39019592098924,7.808736149028424,31.054279749478077,19.572025052192068,19.206680584551147,86.04464429099085,57.59595310743536,5.990043359563193,EDGE CLOUD
