Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,r_squared,r_squared_21d,slope,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
SOFI,-0.2631578592505513,0.23177943484870078,-0.00371745592712895,0.02401749680061002,0.01735356212344993,18.760000228881836,18.003703551798484,0.04200783882646199,0.4659010398304387,0.8156440045908067,-0.08165754494579157,0.36507936507936506,17,False,False,18.807000160217285,17.44950008392334,17.22200002670288,17.831800136566162,0.25,0.5,-0.4049489330983584,0.05138652081785709,0.04380176315278678,0.04715961557949418,0.6975965430239829,0.8627829308313681,-0.2853858524670171,37.091230324445874,44.76790876967555,24.83135239318985,29.54946996466431,23.425955669771923,86.12271121105043,40.3870864118214,15.772566655958883,71.93282203662062,55.25618374558304,75.18470928364921,70.46659171217475,80.18390619980727,86.12271121105043,72.06874397687119,84.24349502088018,ARKK
TPST,-0.4149659880495528,-0.005780341244511894,-0.02824856093507498,-0.04444440323629388,-0.03910610879026677,1.7200000286102295,1.8876352262645972,-0.08880698734686024,0.6223352169035328,0.1946277231466104,-0.014793586918652154,0.42857142857142855,22,False,False,1.943999993801117,1.8144999980926513,1.8700000047683716,2.0596000003814696,0.375,0.5,-0.4829932138288612,0.09989772065696302,0.09991979432955225,0.12981729038041842,1.6484885633917585,0.7453593170601391,-0.4326144521232955,37.088017989078054,35.006424670735626,47.506424670735626,29.54946996466431,33.44041117892708,49.726951493735946,60.215226469643426,7.677481529071635,65.50413588178606,65.01766784452298,52.50963700610343,70.46659171217475,83.51670414391262,49.726951493735946,40.69225827176357,92.33858014776743,Other
BLNE,-0.4748603253361436,-0.12558143635322055,-0.14932128380958792,-0.04081634763179803,-0.08292681026288498,1.8799999952316284,2.2339800408963035,-0.1584526446899917,0.8245277638276385,0.10899630611000341,-0.02117319388483892,0.4444444444444444,24,False,False,2.1920000433921816,2.214500015974045,2.2833333373069764,2.520199992656708,0.25,0.5,-0.4763231085851876,0.0875374939415147,0.08421282959865124,0.10296350490023101,1.0035321116095273,1.351089762607338,-0.4907019832443798,37.087415676196585,34.15515579826534,56.4005782203662,29.54946996466431,20.31802120141343,57.48474140700289,62.62447799550273,5.974943784131064,68.7516061676839,65.86893671699326,43.61548345647285,70.46659171217475,83.29184066816576,57.48474140700289,75.25698682942499,94.041117892708,Other
SINT,-0.31486884580316926,0.030701725491746167,-0.09961685858754069,-0.06374505435801144,-0.04858304558206034,2.3499999046325684,2.6166338713458526,-0.1018996083606234,0.6188181426553067,0.06959680372286661,-0.01057325367645551,0.4126984126984127,19,False,False,2.6289999961853026,2.6136500000953675,2.597766661643982,2.7195600032806397,0.125,0.5,-0.3352769892085358,0.04287625088479203,0.07073287830110754,0.0759878450290188,1.11512276469493,0.5549641615215385,-0.3355368964013434,37.08580950851269,41.2945711532284,35.74927722454224,29.54946996466431,18.491005460970126,92.82043045293929,36.78123996145197,12.335367812399614,68.58637166720206,58.7295213620302,64.26678445229682,70.46659171217475,76.00787022165115,92.82043045293929,42.426919370382265,87.68069386443945,Other
CYD,-0.12121842075695458,0.12144779320781376,-0.04301069075258367,-0.0009552687329929594,-0.009706435395837591,41.83000183105469,42.11893540696371,-0.006859944894553282,0.4190551074794254,0.5772706181536812,-0.17378312816268288,0.4444444444444444,21,False,False,42.643999862670896,41.582999801635744,41.04099985758464,43.5323999786377,0.125,0.625,-0.34209113724135143,0.07245841025087765,0.04486845098147199,0.054232958878709124,0.8122159458704407,0.5703134693693388,-0.14772823867032983,37.072759396080954,40.96530677802763,47.18920655316415,29.54946996466431,18.017185994217797,68.85640860905879,27.80276260841632,29.521362030195952,65.0548104722133,59.05878573723098,52.8268551236749,70.46659171217475,83.62512046257629,68.85640860905879,53.17218117571474,70.49469964664311,Other
GOODO,-0.004436696683532126,0.021920616887333728,0.01239157564793406,0.006809498932558272,0.00604833321380359,19.959999084472656,19.741633821767397,0.0110611545466154,0.38411084980541954,0.7091793732563578,-0.006402303271579303,0.3333333333333333,1,False,False,19.78733253479004,19.675391101837157,19.6587121963501,19.7611279296875,0.25,0.375,-0.03929979441688009,0.20703902514947733,0.011096547137368237,0.008284561321120357,0.8508739837398374,0.7690342621828475,-0.03446941757293832,37.060311596530674,46.04882749759074,8.018792161901702,29.54946996466431,60.36781239961452,17.025377449405717,40.282685512367486,51.2688724702859,55.469201734661105,53.97526501766784,91.99726951493736,70.46659171217475,31.40459363957597,17.025377449405717,63.17860584645037,48.747189206553166,Other
PPSI,-0.29059827884195,0.0440251143228309,0.2116788035355213,0.11036786710819554,0.04075231150171564,3.319999933242798,3.0004313055898213,0.10650756344850099,0.8330892651324545,0.10151700330901171,-0.028161962769822597,0.36507936507936506,17,False,False,2.841999959945679,2.9419999718666077,3.071333320935567,3.3095999908447267,0.125,0.5,-0.4957446847365637,0.053661208970588535,0.0740346135506717,0.07771084468985646,1.0389259786476868,1.3780962763523188,-0.3119984889732706,37.05629617732092,44.33825891423065,24.83135239318985,29.54946996466431,10.57259877931256,84.38805011243173,64.0379055573402,13.861227112110505,72.87222936074527,55.68583360102795,75.18470928364921,70.46659171217475,83.9262769033087,84.38805011243173,74.59845807902346,86.15483456472856,Other
MEG,-0.09388451603327001,-0.003787875024959444,0.022848868627906967,0.006698626772841801,-0.005200884396544191,21.040000915527344,21.71288967145823,-0.030990290381081902,0.14692825481163282,0.3201842823846283,-0.0470190148016641,0.49206349206349204,21,False,False,21.111999893188475,21.641999912261962,21.904999860127766,23.25419990539551,0.125,0.625,-0.296030110260028,0.0774327722198829,0.03983494414677686,0.04265345103431699,1.601152243728843,0.43981819420518364,-0.12121890384456076,37.05448923867652,26.377288788949564,57.75778991326695,29.54946996466431,21.671217475104402,64.71249598458078,43.28621908127209,33.1352393189849,63.01076132348217,73.64680372630903,42.25827176357211,70.46659171217475,79.97108898168969,64.71249598458078,25.353356890459363,66.88082235785416,Other
HGLB,-0.04861458926315841,0.08042303252764868,-0.0006741209976617485,-0.012091943885667948,0.001225518268239606,8.170000076293945,8.15659917827867,0.00164295164226807,0.44916479432642953,0.6985566523681117,-0.011189702446193373,0.36507936507936506,5,False,False,8.204633140563965,8.097033786773682,8.07604160308838,8.292231731414795,0.25,0.375,-0.15395213625237675,0.17188278235334561,0.02967455859749064,0.026910057658206105,0.6540832635664815,1.3766285828823412,-0.07731461507139166,37.053485383874076,48.59058785737231,12.985865724381625,29.54946996466431,46.24156761965949,23.22518470928365,52.3048506264054,40.3629938965628,60.227071956312244,51.43350465788629,87.03019595245743,70.46659171217475,45.530838419531,23.22518470928365,86.267266302602,59.65306778027626,Other
BETA,-0.35313529483368966,0.11205672914608546,-0.055421690069412555,0.02216428612815443,0.025506889751194542,15.680000305175781,16.38529598005901,-0.04304442688991255,0.3933871254590782,0.21912697438609127,-0.07791426539787316,0.38095238095238093,19,False,False,16.70900011062622,16.223500108718873,15.896000099182128,17.121400032043457,0.375,0.375,-0.4393564240549083,0.04053870963370477,0.06977775277398059,0.07489976427840532,0.8773719469262478,0.563228059223746,-0.37264897827175064,37.049871506585276,36.745101188564085,31.697719241888855,29.54946996466431,35.110825570189526,94.39447478316735,29.376806938644393,10.327658207516864,70.60893832316094,63.2789913266945,68.31834243495021,70.46659171217475,70.00883392226149,94.39447478316735,50.618374558303884,89.6884034693222,Other
